zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
02067,5.85,21.1,128250,88.14
02071,6.75,50.68,97981,51.87
02072,8.5,29.31,75361,56.82
02081,6.61,24.27,91394,72.63
02090,5.43,19.93,130824,84.23
02093,7.81,24.56,101330,72.39
02108,6.24,46.94,95753,95.22
02109,3.11,50.17,128022,80.24
02110,2.02,35.71,123795,89.34
02111,10.37,48.59,44758,64.13
02113,2.54,71.45,64413,85.3
02114,5.31,63.93,79734,91.32
02115,11.72,81.72,23677,77.31
02116,4.97,52.91,87630,84.86
02118,10.2,56.68,50000,68.79
02119,14.98,54.75,27051,48.68
02120,11.11,74.95,32367,53.95
02121,23.26,56.8,30419,41.77
02122,15.99,48.85,51798,46.07
02124,15.71,50.74,48329,48.15
02125,13.32,53.58,42298,51.18
02126,18.17,48.11,43532,41.41
02127,7.08,60.14,67012,65.92
02128,10.62,46.82,49549,35.21
02129,6.87,43.16,89105,72.37
02130,6.8,52.17,74198,78.47
02131,10.54,45,61099,61.76
02132,6.41,34.92,82421,72.44
02134,7.44,74.5,37638,66.19
02135,5.06,62.3,50291,72.87
02136,10.22,45.41,57080,55.51
02138,5.87,56.92,73835,91.84
02139,5.26,59.09,70508,82.3
02140,5.72,42.06,73894,82.17
02141,5.78,54.54,63382,72.34
02142,1.55,53.39,89792,96.93
02143,7.42,55.4,66858,71.33
02144,6.61,59.26,74636,77.58
02145,7.48,46.71,53512,55.03
02148,11.77,38.76,54229,55.04
02149,8.93,39,49702,38.79
02150,11.6,48.63,43919,30.65
02151,10.26,35.52,49933,39.64
02152,8.33,31.91,62000,66.19
02155,7.08,42.62,72800,65.33
02163,8.6,82.27,43889,99.53
02169,10.22,38.26,58530,61.54
02170,7.95,41.89,62509,58.01
02171,8.2,37.7,66291,64.64
02176,5.5,27.67,86264,75.53
02180,7.25,29.33,72938,64.2
02184,7.55,30.93,85208,64.59
02186,6.51,34.53,107577,79.61
02188,10.06,32.82,64327,63.43
02189,9.06,37.62,63384,61.62
02190,8.25,29.32,78532,63.98
02191,8.39,26.16,65119,59.63
02199,0.99,38.13,107159,90.8
02203,"","","",""
02210,1.67,45.62,111061,94.43
02215,8.51,85.59,30823,90.66
02301,14.64,42.46,45017,45.17
02302,13.22,39.04,61127,47.6
02322,12.74,28.52,70481,55.01
02324,9.11,40.83,90722,62.54
02330,9.58,24.08,67963,50.22
02332,7.22,20.01,117197,86.09
02333,5.66,28.57,80169,58.27
02338,8.45,29.65,77905,54.95
02339,7.24,27.08,99856,70.82
02341,8.53,29.69,92736,59.42
02343,8.87,29.75,61825,57.02
02346,9.37,27.91,74764,55.29
02347,7.94,23.84,91782,62.3
02351,6.58,29.38,76164,57.38
02356,6.92,36.46,106139,76.92
02357,12.07,99.31,"",100
02359,6.95,25.35,84136,63.31
02360,8.8,26.84,77228,64.56
02364,9.91,30.76,80172,66.68
02366,"",58.39,"",20.14
02367,7.28,23.15,99500,61.96
02368,11.49,34.56,62947,57.47
02370,9.48,30.97,64386,55.3
02375,8.16,25.16,83370,70.06
02379,8.92,30.04,78207,58.99
02382,8.08,31.3,74371,56.67
02420,5.23,21.44,139174,88.24
02421,4.94,21.73,136653,87.37
02445,5.16,43.15,104069,88.22
02446,5.73,46.31,78414,90.11
02451,4.27,34.58,79637,66.26
02452,5.59,52.42,74257,68.5
02453,5.32,47.86,68805,61.4
